year,county,vineyard_acres
2014,Alameda,2926.97
2014,Amador,3724.78
2014,Butte,85.85
2014,Calaveras,816.16
2014,Colusa,2026.11
2014,Contra Costa,2246.9
2014,El Dorado,2426.45
2014,Fresno,204114.99
2014,Glenn,1062.57
2014,Humboldt,68.06
2014,Kern,95541.31
2014,Kings,6825.73
2014,Lake,9577.86
2014,Los Angeles,335.67
2014,Madera,75250.85
2014,Marin,158.38
2014,Mariposa,91.2
2014,Mendocino,16850.89
2014,Merced,16338.03
2014,Monterey,50974.48
2014,Napa,43653.78
2014,Nevada,433.53
2014,Placer,253.45
2014,Riverside,10958.68
2014,Sacramento,31122.24
2014,San Benito,3837.98
2014,San Bernardino,19.49
2014,San Diego,578.93
2014,San Joaquin,91510.99
2014,San Luis Obispo,43225.72
2014,San Mateo,86.06
2014,Santa Barbara,21636.21
2014,Santa Clara,1720.9
2014,Santa Cruz,600.08
2014,Shasta,98.6
2014,Siskiyou,3.75
2014,Solano,4246.3
2014,Sonoma,58380.3
2014,Stanislaus,11134.31
2014,Sutter,85.37
2014,Tehama,157.91
2014,Trinity,134.1
2014,Tulare,59167.85
2014,Tuolumne,29.15
2014,Ventura,51.26
2014,Yolo,19243.81
2014,Yuba,40.68
2016,Alameda,2952.97
2016,Amador,3786.45
2016,Butte,112.34
2016,Calaveras,839.63
2016,Colusa,1705.43
2016,Contra Costa,2236.92
2016,El Dorado,2461.0
2016,Fresno,180508.93
2016,Glenn,426.86
2016,Humboldt,90.37
2016,Imperial,140.12
2016,Kern,93978.81
2016,Kings,4893.77
2016,Lake,10190.96
2016,Los Angeles,376.15
2016,Madera,63578.8
2016,Marin,174.12
2016,Mariposa,69.47
2016,Mendocino,17490.94
2016,Merced,15980.21
2016,Mono,13.74
2016,Monterey,53306.49
2016,Napa,45296.36
2016,Nevada,436.38
2016,Placer,246.99
2016,Riverside,9892.76
2016,Sacramento,33525.35
2016,San Benito,4225.27
2016,San Bernardino,230.32
2016,San Diego,654.91
2016,San Joaquin,90898.02
2016,San Luis Obispo,46829.89
2016,San Mateo,147.52
2016,Santa Barbara,20825.36
2016,Santa Clara,1701.29
2016,Santa Cruz,606.67
2016,Shasta,104.8
2016,Siskiyou,3.75
2016,Solano,4811.68
2016,Sonoma,60827.23
2016,Stanislaus,10213.24
2016,Sutter,58.51
2016,Tehama,168.41
2016,Trinity,131.94
2016,Tulare,55479.96
2016,Tuolumne,57.68
2016,Ventura,58.85
2016,Yolo,19493.21
2016,Yuba,314.96
2018,Alameda,2965.19
2018,Amador,3977.82
2018,Butte,113.57
2018,Calaveras,861.18
2018,Colusa,1684.26
2018,Contra Costa,2370.48
2018,El Dorado,2519.17
2018,Fresno,162255.38
2018,Glenn,6.66
2018,Humboldt,136.03
2018,Imperial,124.07
2018,Kern,92622.37
2018,Kings,4900.46
2018,Lake,11802.13
2018,Los Angeles,396.4
2018,Madera,58929.34
2018,Marin,181.77
2018,Mariposa,68.52
2018,Mendocino,18056.55
2018,Merced,15890.36
2018,Mono,13.74
2018,Monterey,54644.6
2018,Napa,46678.98
2018,Nevada,435.4
2018,Placer,250.3
2018,Riverside,9489.2
2018,Sacramento,36054.57
2018,San Benito,4492.69
2018,San Bernardino,412.21
2018,San Diego,814.72
2018,San Joaquin,90371.76
2018,San Luis Obispo,47531.45
2018,San Mateo,144.58
2018,Santa Barbara,22177.89
2018,Santa Clara,1718.37
2018,Santa Cruz,614.93
2018,Shasta,132.42
2018,Siskiyou,3.75
2018,Solano,5065.57
2018,Sonoma,63316.72
2018,Stanislaus,9204.98
2018,Sutter,88.94
2018,Tehama,205.73
2018,Trinity,139.16
2018,Tulare,52144.51
2018,Tuolumne,54.84
2018,Ventura,76.88
2018,Yolo,20221.23
2018,Yuba,220.7
2019,Alameda,2930.99
2019,Amador,4004.06
2019,Butte,121.8
2019,Calaveras,856.47
2019,Colusa,1691.79
2019,Contra Costa,2324.79
2019,El Dorado,2562.29
2019,Fresno,160400.24
2019,Glenn,6.66
2019,Humboldt,128.2
2019,Imperial,141.78
2019,Kern,91053.26
2019,Kings,4890.24
2019,Lake,12119.33
2019,Los Angeles,366.25
2019,Madera,58176.56
2019,Marin,181.64
2019,Mariposa,63.74
2019,Mendocino,17694.57
2019,Merced,15208.7
2019,Mono,13.74
2019,Monterey,54754.52
2019,Napa,46969.92
2019,Nevada,437.09
2019,Placer,267.49
2019,Riverside,9096.26
2019,Sacramento,36982.93
2019,San Benito,4357.03
2019,San Bernardino,438.4
2019,San Diego,805.68
2019,San Joaquin,90976.15
2019,San Luis Obispo,47475.81
2019,San Mateo,150.55
2019,Santa Barbara,21963.78
2019,Santa Clara,1652.45
2019,Santa Cruz,597.61
2019,Shasta,168.44
2019,Siskiyou,3.75
2019,Solano,5124.38
2019,Sonoma,63184.65
2019,Stanislaus,9028.51
2019,Sutter,88.94
2019,Tehama,205.73
2019,Trinity,138.02
2019,Tulare,50994.05
2019,Tuolumne,51.93
2019,Ventura,87.58
2019,Yolo,20292.88
2019,Yuba,257.11
2020,Alameda,2836.64
2020,Amador,3708.18
2020,Butte,201.25
2020,Calaveras,841.0
2020,Colusa,1363.01
2020,Contra Costa,1944.22
2020,El Dorado,2434.24
2020,Fresno,147755.07
2020,Glenn,2.49
2020,Humboldt,128.34
2020,Imperial,143.64
2020,Kern,80879.84
2020,Kings,4651.14
2020,Lake,12240.05
2020,Los Angeles,323.77
2020,Madera,55882.02
2020,Marin,170.17
2020,Mariposa,61.8
2020,Mendocino,17408.41
2020,Merced,13065.72
2020,Modoc,11.98
2020,Mono,13.74
2020,Monterey,52077.6
2020,Napa,44730.08
2020,Nevada,447.1
2020,Placer,270.88
2020,Riverside,8645.47
2020,Sacramento,36667.9
2020,San Benito,4502.8
2020,San Bernardino,434.03
2020,San Diego,893.42
2020,San Joaquin,84121.86
2020,San Luis Obispo,45785.62
2020,San Mateo,158.76
2020,Santa Barbara,22521.55
2020,Santa Clara,1572.18
2020,Santa Cruz,590.89
2020,Shasta,146.44
2020,Siskiyou,3.75
2020,Solano,5196.48
2020,Sonoma,61842.66
2020,Stanislaus,7655.73
2020,Sutter,101.49
2020,Tehama,260.74
2020,Trinity,128.66
2020,Tulare,43486.13
2020,Tuolumne,51.84
2020,Ventura,88.9
2020,Yolo,19923.93
2020,Yuba,259.35
2021,Alameda,2779.22
2021,Amador,3577.85
2021,Butte,193.4
2021,Calaveras,785.51
2021,Colusa,1512.16
2021,Contra Costa,1796.0
2021,El Dorado,2505.0
2021,Fresno,140817.92
2021,Glenn,2.49
2021,Humboldt,125.78
2021,Imperial,143.64
2021,Kern,76442.46
2021,Kings,4593.75
2021,Lake,12589.44
2021,Los Angeles,316.01
2021,Madera,54974.67
2021,Marin,179.6
2021,Mariposa,62.97
2021,Mendocino,17601.06
2021,Merced,13615.66
2021,Mono,13.74
2021,Monterey,50140.44
2021,Napa,44553.95
2021,Nevada,431.82
2021,Placer,236.58
2021,Riverside,7811.63
2021,Sacramento,35709.51
2021,San Benito,4594.79
2021,San Bernardino,21.98
2021,San Diego,926.28
2021,San Joaquin,83152.8
2021,San Luis Obispo,44726.22
2021,San Mateo,149.53
2021,Santa Barbara,22014.42
2021,Santa Clara,1596.2
2021,Santa Cruz,578.39
2021,Shasta,153.33
2021,Siskiyou,1.38
2021,Solano,5179.15
2021,Sonoma,61931.1
2021,Stanislaus,6704.63
2021,Sutter,61.31
2021,Tehama,249.72
2021,Trinity,133.27
2021,Tulare,41069.05
2021,Tuolumne,51.84
2021,Ventura,81.1
2021,Yolo,19496.17
2021,Yuba,127.0
2022,Alameda,2814.89
2022,Amador,3453.01
2022,Butte,192.54
2022,Calaveras,785.33
2022,Colusa,1476.45
2022,Contra Costa,1745.17
2022,El Dorado,2491.4
2022,Fresno,131077.89
2022,Glenn,2.49
2022,Humboldt,124.32
2022,Imperial,143.64
2022,Kern,76478.42
2022,Kings,4245.56
2022,Lake,12214.71
2022,Los Angeles,280.81
2022,Madera,52988.26
2022,Marin,144.03
2022,Mariposa,37.97
2022,Mendocino,17301.47
2022,Merced,14139.23
2022,Mono,13.74
2022,Monterey,50058.21
2022,Napa,45902.95
2022,Nevada,411.93
2022,Placer,281.74
2022,Riverside,7072.64
2022,Sacramento,35759.05
2022,San Benito,4091.97
2022,San Bernardino,20.03
2022,San Diego,903.52
2022,San Joaquin,83238.21
2022,San Luis Obispo,44136.47
2022,San Mateo,149.12
2022,Santa Barbara,21593.86
2022,Santa Clara,1602.61
2022,Santa Cruz,606.05
2022,Shasta,117.36
2022,Solano,5190.96
2022,Sonoma,60575.72
2022,Stanislaus,6936.51
2022,Sutter,77.81
2022,Tehama,251.0
2022,Trinity,130.28
2022,Tulare,40694.57
2022,Tuolumne,51.49
2022,Ventura,85.45
2022,Yolo,19507.2
2022,Yuba,194.21
2023,Alameda,2813.08
2023,Amador,3618.25
2023,Butte,179.85
2023,Calaveras,779.29
2023,Colusa,1476.45
2023,Contra Costa,1709.06
2023,El Dorado,2434.29
2023,Fresno,125768.34
2023,Glenn,2.49
2023,Humboldt,130.74
2023,Imperial,143.64
2023,Kern,75120.23
2023,Kings,4247.2
2023,Lake,12532.38
2023,Los Angeles,329.81
2023,Madera,50564.93
2023,Marin,180.19
2023,Mariposa,37.97
2023,Mendocino,17530.28
2023,Merced,14787.28
2023,Mono,13.93
2023,Monterey,50160.62
2023,Napa,46227.12
2023,Nevada,412.06
2023,Placer,288.25
2023,Riverside,6244.04
2023,Sacramento,36172.82
2023,San Benito,4061.13
2023,San Bernardino,21.11
2023,San Diego,1033.06
2023,San Joaquin,81771.79
2023,San Luis Obispo,46720.32
2023,San Mateo,102.0
2023,Santa Barbara,21653.13
2023,Santa Clara,1657.64
2023,Santa Cruz,595.76
2023,Shasta,109.31
2023,Siskiyou,21.26
2023,Solano,5351.89
2023,Sonoma,60878.1
2023,Stanislaus,7322.3
2023,Sutter,48.17
2023,Tehama,253.43
2023,Trinity,120.81
2023,Tulare,38349.16
2023,Tuolumne,55.22
2023,Ventura,99.55
2023,Yolo,18938.25
2023,Yuba,198.99
2024,Alameda,2834.03
2024,Amador,3597.26
2024,Butte,180.99
2024,Calaveras,778.22
2024,Colusa,1472.71
2024,Contra Costa,1677.7
2024,El Dorado,2495.63
2024,Fresno,120834.2
2024,Glenn,2.89
2024,Humboldt,127.86
2024,Imperial,143.64
2024,Kern,69908.86
2024,Kings,4256.86
2024,Lake,12783.24
2024,Los Angeles,314.78
2024,Madera,49995.93
2024,Marin,180.18
2024,Mariposa,33.25
2024,Mendocino,17759.74
2024,Merced,14596.91
2024,Mono,13.86
2024,Monterey,51118.53
2024,Napa,46748.76
2024,Nevada,402.36
2024,Placer,299.19
2024,Riverside,5866.77
2024,Sacramento,36284.71
2024,San Benito,4232.39
2024,San Bernardino,417.8
2024,San Diego,1064.9
2024,San Joaquin,80922.94
2024,San Luis Obispo,48966.21
2024,San Mateo,151.11
2024,Santa Barbara,21487.67
2024,Santa Clara,1480.34
2024,Santa Cruz,596.92
2024,Shasta,107.91
2024,Siskiyou,17.51
2024,Solano,6094.33
2024,Sonoma,62052.24
2024,Stanislaus,6931.15
2024,Sutter,106.17
2024,Tehama,256.05
2024,Trinity,113.09
2024,Tulare,36808.22
2024,Tuolumne,56.56
2024,Ventura,93.9
2024,Yolo,18837.83
2024,Yuba,174.93
